generations,population,infected_t25,infected_t75,infected_t10,infected_t60,infected_t50,infected_t100,beta,gamma
12,50580,214,75,314,101,123,48,0.506731839104071,0.5111967510603608
12,195380,511,503,514,506,507,500,0.5788381376496236,0.5774234517637814
10,1240,0,0,0,0,0,0,1.5,0.1
12,4620,0,0,0,0,0,0,1.5,0.1
3,5740,72,54,80,58,62,47,0.5044619572153926,0.5054302395264474
12,1520,0,0,0,0,0,0,1.5,0.1
12,240180,790,447,985,520,580,355,0.7672185445317278,0.7684862511186389
12,2060,4,7,4,6,6,8,0.5068410637959712,0.5033267905874393
12,1020,3,3,3,3,3,3,0.5060343625616665,0.5039494597701276
12,2680,0,0,0,0,0,0,1.5,0.1
6,1300,9,1,22,2,3,0,0.7522743941583447,0.7739663062822596
12,11100,0,0,0,0,0,0,1.5,0.1
12,3080,4,11,3,9,7,15,0.7460835013236367,0.7393937058603672
11,1480,6,3,8,4,4,2,0.5037719013323945,0.5061794489157488
12,1980,5,5,5,5,5,5,0.5059250973861624,0.5047488605447877
10,1620,6,4,8,4,5,3,0.5080646989395493,0.5093180154832643
10,1140,5,2,6,3,3,2,0.505592257803133,0.5083913649490679
7,1740,7,7,7,7,7,7,0.505751231999886,0.5042170665590349
12,1580,4,4,4,4,4,4,0.5058734096118556,0.504113547711502
12,2440,9,1,18,2,3,0,0.5053142176602209,0.5156194769527387
12,1880,7,0,16,1,2,0,0.5072856472007997,0.5201289364318876
12,1540,5,3,6,3,3,2,0.5042240452375353,0.5057439680176226
11,3760,0,0,0,0,0,0,0.01,1.0
6,2420,20,9,28,11,13,6,0.5163727869611285,0.5222891197308236
12,3080,5,5,5,5,5,5,0.5054526701302248,0.5046337177857276
12,1420,0,0,0,0,0,0,1.5,0.1
12,274560,0,0,0,0,0,0,0.010000001072290163,0.9999999996701578
12,48540,201,65,304,89,111,39,0.5056826602282919,0.5107005730786977
12,7340,0,0,0,0,0,0,1.5,0.1
12,4060,8,11,7,10,10,13,0.7519511047928997,0.7483538765099874
12,5640,14,15,14,15,15,16,0.5122445350227661,0.510428951179308
12,1300,0,0,0,0,0,0,1.5,0.1
12,4720,0,0,0,0,0,0,1.5,0.1
12,3820,11,7,12,8,9,6,0.5099193912785024,0.510738548312812
12,4120,0,0,0,0,0,0,1.5,0.1
12,2020,6,4,6,5,5,4,0.5054762708857216,0.5055318331069235
12,1580,4,4,4,4,4,4,0.5062089934596613,0.5046838502537893
12,1220,4,2,5,2,3,1,0.5038588907372894,0.5061713105106397
11,1560,3,3,3,3,3,3,0.5085833571851702,0.5066847232734353
12,2340,0,0,0,0,0,0,0.01,1.0
11,1200,4,0,12,0,0,0,0.49854741552975107,0.5173541102679848
10,1360,0,0,0,0,0,0,0.01,1.0
11,10620,15,25,13,22,20,31,0.621803849085877,0.617618988003732
12,1060,3,2,5,2,2,1,0.5038964712734567,0.5061717353316805
12,1960,5,4,6,4,5,3,0.5052093139636317,0.5055014597631656
12,1400,5,2,6,3,3,1,0.5036448809555842,0.5063112611054754
12,44080,0,0,0,0,0,0,0.01,1.0
12,28020,0,0,0,0,0,0,0.011195016308130903,0.999635846847923
12,33760,82,58,93,64,68,49,0.508921544699927,0.5098549345173361
11,1740,0,0,0,0,0,0,0.01,1.0
12,206520,0,0,0,0,0,0,1.5,0.1
12,418020,0,0,0,0,0,0,0.010370068559130132,0.9998878674745129
12,168540,623,154,1068,227,297,83,0.763298016625324,0.7695658735198411
12,13220,57,11,104,17,24,5,0.5067652416333704,0.5147865849298564
12,3300,0,0,0,0,0,0,1.5,0.1
12,24940,0,0,0,0,0,0,0.011537294597175887,0.9995314858836082
5,4900,49,17,72,23,28,11,0.499681042971376,0.5101859887937363
12,8600,24,17,27,18,20,14,0.5207916363530034,0.5214827564745411
12,1980,7,2,11,3,4,1,0.5055697274000891,0.5099544468427049
12,4460,0,0,0,0,0,0,1.5,0.1
12,32900,34,52,29,46,42,63,0.6519258754345466,0.6486801066658032
12,31560,70,98,62,90,84,113,0.5275265559913274,0.5242394714939285
12,145800,420,194,560,240,278,140,0.7660772933204486,0.7688396929219674
12,2120,0,0,0,0,0,0,1.5,0.1
12,34020,142,62,192,78,92,44,0.5098935861229158,0.5129944393726148
12,7420,25,2,61,4,7,0,0.7589884120365689,0.7707832109006311
12,4440,21,9,29,11,13,6,0.5038782115631909,0.5067518203405933
12,33880,24,142,13,87,61,269,0.7107187072843941,0.6993759531209991
8,13700,53,52,53,53,53,52,0.7710654556606215,0.7681687248467471
12,1120,2,4,2,3,3,5,0.7721312993572714,0.7671542012337422
12,13320,0,0,0,0,0,0,1.5,0.1
4,21980,224,124,278,146,163,97,0.6094848922400371,0.6146520385517856
12,12440,50,5,113,10,15,1,0.499344332752325,0.5111766534679807
12,15520,50,27,63,32,36,21,0.767033167804226,0.768540964300623
12,8360,0,0,0,0,0,0,1.5,0.1
10,2260,6,6,6,6,6,6,0.5082266180099837,0.5068403098987279
11,2980,8,9,8,9,9,10,0.5061867379511418,0.5037894372777224
12,2460,9,4,12,5,6,3,0.5082950047350266,0.5110219928932022
12,3820,7,8,7,7,7,8,0.508636220448123,0.507055882375777
12,1480,2,3,2,3,2,3,0.7709420615411322,0.7675715112632895
12,36300,0,0,0,0,0,0,0.010739460576104634,0.9997746247260011
12,3140,4,6,4,6,5,7,0.6412902642567564,0.6382063985702775
12,30680,50,57,48,55,54,60,0.6999350162657032,0.6979946426009352
12,2360,9,3,13,4,5,2,0.5093373960305894,0.513350619207345
9,8440,43,18,60,23,27,12,0.5155014497302772,0.5202999920531705
6,3140,24,11,32,13,16,8,0.5053877647479588,0.511227876518455
12,4340,14,10,17,11,12,8,0.5123541895337395,0.5130407321056437
7,25180,141,70,181,85,97,51,0.5078784723168783,0.5125374371385987
12,23160,97,28,152,40,51,16,0.504378179268558,0.5099769265801044
12,556500,1388,1057,1537,1137,1198,949,0.8363547653366087,0.8360536520419811
12,1049700,2083,2003,2113,2024,2040,1972,0.8372818083184458,0.8358699482439899
12,857480,2192,1576,2483,1721,1834,1381,0.8360794134366923,0.8361086898445937
12,511680,1345,873,1584,980,1065,732,0.8355688854126047,0.8362097236631324
12,4040,0,0,0,0,0,0,1.5,0.1
12,1280,0,0,0,0,0,0,1.5,0.1
12,2480,9,4,11,5,6,3,0.5076276625945815,0.5102346995238178
12,1480,3,3,3,3,3,3,0.5056311029251134,0.5043602543078466
11,6080,15,16,14,16,15,17,0.5071836010899582,0.5051267045945349
12,1120,4,1,6,2,2,1,0.5027071792192634,0.5072355944326653
12,1360,0,0,0,0,0,0,0.01,1.0
12,1400,5,4,6,4,5,3,0.5051072887686677,0.5048568887538188
8,1040,0,0,0,0,0,0,0.01,1.0
12,4460,0,0,0,0,0,0,0.01,1.0
12,2980,0,0,0,0,0,0,1.5,0.1
12,4340,13,10,14,11,11,9,0.5140420968809559,0.5140646379272775
10,11540,44,22,57,27,31,16,0.5133865779801325,0.516525772009289
12,1080,3,3,3,3,3,3,0.5061143804576819,0.5043694988678057
12,3280,0,0,0,0,0,0,0.01,1.0
12,14980,69,27,97,35,42,18,0.5146963446217594,0.5182897330804384
12,31500,133,34,218,50,65,18,0.5070150247984941,0.5133537811070464
12,132580,444,185,620,235,278,128,0.7499485502384676,0.7531620741653465
8,15920,93,42,123,52,61,30,0.5092612664066125,0.5137685421075993
12,101820,141,543,87,386,297,824,0.7759928355611496,0.7661402705587663
12,72400,258,36,549,62,91,14,0.8280504558232159,0.8377020488537158
8,54520,266,216,286,228,238,198,0.5139753699651765,0.513454757720058
9,3640,0,0,0,0,0,0,1.5,0.1
9,1660,7,5,8,5,6,4,0.5051027577478555,0.5057624188065911
11,1200,2,2,2,2,2,3,0.7706421264894311,0.7677854528692402
12,4820,0,0,0,0,0,0,1.5,0.1
12,8240,6,29,4,19,14,51,0.710559127447811,0.700994130042261
12,2600,7,3,10,4,5,2,0.5056177175676885,0.5083397732866487
12,1200,0,0,0,0,0,0,1.5,0.1
12,5120,3,13,2,9,7,22,0.7152392387777631,0.7072352813552124
12,1820,7,2,12,3,3,1,0.5058145917352064,0.511608603941436
6,1620,11,1,26,2,4,0,0.7529978385038945,0.7737782194692735
12,24860,86,55,103,62,68,47,0.7679561266446772,0.7682636306425612
12,1600,0,0,0,0,0,0,0.01,1.0
12,5340,3,11,2,8,6,17,0.7564328269921646,0.7492623603450294
10,1920,0,0,0,0,0,0,0.01,1.0
12,1280,4,2,5,2,3,1,0.5042060699663565,0.5066109703273671
12,1820,5,5,5,5,5,4,0.5060870068463463,0.5051282874726313
12,1640,7,2,10,3,4,1,0.5054247902392766,0.5090009563491745
6,1200,4,8,3,6,5,10,0.5098873133674142,0.5003350590522643
10,1440,0,0,0,0,0,0,0.01,1.0
12,92060,216,6,738,17,35,1,0.7531841930445915,0.772508339620028
12,285600,1006,314,1590,431,538,191,0.8321119886777594,0.8368971525167317
12,355560,1162,449,1681,581,697,301,0.8331216919952311,0.8366810464375096
12,91360,317,41,689,73,109,16,0.8276902330251538,0.8377710576636561
12,72200,276,60,495,92,123,31,0.7452707601850724,0.7522521098936904
12,38940,136,11,341,23,38,3,0.7582693009646378,0.7709797377734687
12,38940,80,120,69,108,100,139,0.7230016162314821,0.7189132235579448
11,330100,1047,996,1068,1009,1019,978,0.8380114718787793,0.8357251417713681
12,604020,2235,567,3843,825,1073,313,0.8311019410098166,0.8370957046861351
12,5440,17,10,22,11,13,8,0.767281762611126,0.7684688227576227
12,1580,6,1,11,2,3,0,0.5039160471063577,0.5113048378942375
12,58380,175,105,209,121,134,84,0.5100165102573216,0.5116350349378421
12,52740,120,119,121,119,119,118,0.5259727256182398,0.5248592714434139
8,4800,28,5,52,8,11,2,0.7598202083180708,0.7712031665590977
12,2340,4,8,3,7,6,11,0.6431599489248496,0.6376758457670996
7,16060,71,76,70,75,74,78,0.5066017706386646,0.5036168490349021
12,2540,5,5,5,5,5,5,0.510334060501307,0.5092431433749108
12,30500,18,81,11,53,39,148,0.7758325437013434,0.7663442013566751
12,1240,0,0,0,0,0,0,0.01,1.0
12,24540,10,108,4,57,36,240,0.7796368948018648,0.7653179099360455
12,23300,83,7,207,14,23,2,0.758502490634509,0.7709071104453585
11,2540,2,5,2,4,4,7,0.6541746243966786,0.6489666171259301
12,157360,0,0,0,0,0,0,0.010140044226215608,0.9999578115250642
12,1920,0,0,0,0,0,0,1.5,0.1
12,78400,294,48,599,79,112,21,0.8288570778301642,0.8375400657319848
12,3360,11,7,12,8,9,6,0.5061649283314296,0.5069461299361672
12,6560,9,18,8,15,13,23,0.6018770744148537,0.5972189122694359
12,18720,56,28,73,34,39,21,0.7665369919347924,0.7686977471185258
10,1460,7,1,14,2,2,0,0.5058858911851349,0.5168167234766359
12,1600,0,0,0,0,0,0,0.01,1.0
7,3600,22,14,26,16,17,12,0.5198926505455781,0.5212877202671543
12,2840,12,2,23,3,5,1,0.5126667317596711,0.5210410830079346
12,1020,0,0,0,0,0,0,0.01,1.0
12,9100,9,20,7,16,14,28,0.669780977290439,0.6642707696769682
12,18860,21,64,15,47,38,96,0.6534504620186748,0.6460964520198755
12,1940,8,3,12,4,5,2,0.5030992166296392,0.5068413593557191
12,1160,3,2,3,2,2,2,0.5052090615691127,0.5055039652722457
7,39580,215,141,254,157,171,119,0.7684525434030396,0.7691393769998258
12,21340,0,0,0,0,0,0,1.5,0.1
11,1200,0,0,0,0,0,0,1.5,0.1
12,10360,21,22,21,22,22,23,0.5122137923397745,0.5107989704159549
9,10580,68,2,180,7,14,0,0.01,0.033381869005147495
12,4080,8,10,7,9,9,11,0.7707638271813405,0.7675776576466304
12,12700,22,40,18,34,30,50,0.6388475729372549,0.6340761108603324
4,2880,7,22,5,16,13,36,0.515731108273138,0.4942700741181105
12,1120,0,0,0,0,0,0,1.5,0.1
12,1618400,5340,3297,6471,3741,4100,2736,0.8356666286837336,0.8361903714836874
12,1649220,5909,2309,8591,2970,3553,1568,0.8314253856159576,0.8347631367166312
12,1397760,4989,1708,7626,2281,2800,1089,0.8326132694114832,0.8367942572283109
12,1161080,3294,2382,3734,2595,2761,2099,0.8362753019079748,0.8360693071907392
12,387340,1261,591,1697,724,837,434,0.834149553994843,0.836491349894687
12,214160,788,255,1236,345,429,158,0.8323591007584192,0.8368473274368395
12,1375880,5145,1297,8884,1890,2461,715,0.8310794582396838,0.837100647242725
12,415260,1437,624,1999,780,914,444,0.8335224437024477,0.8362380615148901
12,296640,1070,469,1489,584,683,336,0.8339547340606794,0.8365300436030829
12,198800,702,321,959,395,459,234,0.8341537350690414,0.8364905579156667
12,105600,400,129,625,176,218,80,0.7896611417664499,0.7941750200824116
12,32660,124,13,292,24,38,4,0.759273848535984,0.7706771511956935
12,397580,1387,612,1920,761,890,439,0.8339353222248098,0.8365338726729128
12,143820,546,201,818,262,317,133,0.8330663722855564,0.8366765486619855
12,4440,3,11,2,8,6,18,0.6918284748529251,0.6843629074852234
12,2540,9,5,11,6,6,3,0.5043468633129317,0.5063648918578372
12,1200,0,0,0,0,0,0,1.5,0.1
12,1660,5,6,5,6,6,7,0.5065668238784122,0.503560816569608
12,1420,6,1,11,1,2,0,0.5011332225482785,0.5100809165570827
12,4080,6,7,6,7,7,8,0.684671495847449,0.6825310720040755
12,2120,0,0,0,0,0,0,1.5,0.1
12,4620,14,9,16,11,11,8,0.5147775772352509,0.5154943511765744
12,12900,17,27,15,24,22,33,0.6047285315123159,0.6012514383110334
12,23180,37,56,32,50,46,66,0.6451641841485848,0.6416113635338291
12,9780,18,21,17,20,20,23,0.7701961824515953,0.7677513154313448
12,72380,131,169,120,158,150,187,0.7247578685214267,0.7218393009387407
12,193320,0,0,0,0,0,0,0.010741039174467773,0.9997746247260011
12,648000,2415,533,4382,808,1079,275,0.8303917053533667,0.837238182263928
5,3260,20,32,16,28,26,39,0.5111636052286869,0.5003886182754279
12,2080,2,4,2,3,3,5,0.7713461490846786,0.7675251854056779
12,1020,0,0,0,0,0,0,0.01,1.0
12,1560,5,2,7,3,3,1,0.5040612651846116,0.5068622154616191
12,1460,4,3,4,3,3,2,0.5058962392641115,0.506011604499346
11,4240,0,0,0,0,0,0,0.01,1.0
8,1140,2,3,2,2,2,3,0.5079872114879791,0.5045466438956543
11,63220,0,0,0,0,0,0,0.010577281278335562,0.9998245847621092
6,2940,0,0,0,0,0,0,0.01,1.0
12,12100,48,33,54,37,40,27,0.01,0.012102911815389307
12,58640,120,156,109,146,139,172,0.7708252748488837,0.7675567134641661
12,5240,15,25,13,22,19,33,0.012873791693696783,0.01
8,2100,13,1,29,3,4,0,0.5019500358956058,0.5176882437733697
12,21100,38,47,35,44,43,51,0.7704193576481622,0.7676950676702848
7,8280,53,31,66,36,40,24,0.5036155097766024,0.5063202254706389
12,4560,18,9,23,11,12,7,0.5146021503623922,0.5167881884807993
12,3260,0,0,0,0,0,0,0.01,1.0
12,3760,11,6,13,7,8,5,0.5144324867640111,0.5163954167072373
12,5680,0,0,0,0,0,0,0.01,1.0
12,2380,0,0,0,0,0,0,0.01,1.0
11,2660,0,0,0,0,0,0,1.5,0.1
8,2180,0,0,0,0,0,0,0.01,1.0
8,1460,3,8,2,6,5,11,0.777102549419017,0.766598032538616
12,6340,13,17,12,16,15,18,0.5089623268005627,0.5064449872787588
10,11520,0,0,0,0,0,0,1.5,0.1
12,266520,891,415,1205,509,589,304,0.83415836265217,0.836489624234585
12,65380,234,24,557,46,72,8,0.8265853308275717,0.8379845583801558
12,302220,0,0,0,0,0,0,1.5,0.1
12,562940,2041,241,4649,440,666,90,0.8272038141877215,0.8378682539580633
7,49240,194,248,177,232,221,276,0.5074533508537693,0.5027905362613749
12,7800,33,10,51,14,17,5,0.5022774674741542,0.5076580204789549
12,2240,0,0,0,0,0,0,0.01,1.0
12,2480,8,0,21,1,2,0,0.7574706108830951,0.7712174096789717
12,1280,2,2,2,2,2,2,0.5055525053520441,0.5044370277556993
12,16460,20,53,14,41,34,77,0.7414306045374444,0.7345306812360559
12,8780,37,8,64,12,16,3,0.5021341138910029,0.5095840535793826
11,2800,9,10,9,10,10,11,0.5062402764132771,0.5037334130182441
12,1260,4,3,4,3,3,3,0.5052501023283698,0.5047195263403684
12,6380,0,0,0,0,0,0,1.5,0.1
12,46060,193,40,345,63,85,20,0.5825741902129523,0.5900201648909555
7,14300,93,40,127,51,60,27,0.5020217660475241,0.5078943877946783
12,149260,0,0,0,0,0,0,0.010103632609043447,0.9999682108561216
12,288160,1066,290,1786,413,530,166,0.8314635028711929,0.8370246595067683
7,167480,1036,429,1488,542,642,297,0.8318111057318986,0.8369533226469742
12,1360,5,0,13,0,1,0,0.505843723355738,0.5192043327527894
12,2140,0,0,0,0,0,0,1.5,0.1
12,1120,1,1,1,1,1,1,0.7678687836970831,0.7684582687802624
12,2560,7,0,26,0,1,0,0.510008992655387,0.5306810527299676
7,17380,0,0,0,0,0,0,1.5,0.1
12,2520,6,6,6,6,6,7,0.5062558243765569,0.5043894970865369
12,1720,5,4,6,4,5,3,0.5052312054580355,0.5053580031639414
12,6920,10,14,9,13,12,16,0.6462509405960762,0.6433051430086135
12,1480,3,3,3,3,3,4,0.5064460997804036,0.5042057842720079
12,2960,0,0,0,0,0,0,0.01,1.0
